workload,format,compression,frames,payload_bytes,fragments,deltas,payload_kbps,framed_kbps,encode_mean_us,decode_mean_us
idle,json-full,none,320,2430721,2560,0,1899.001,1941.001,42.427,94.665
idle,binary-full,none,320,2220942,2240,0,1735.111,1771.861,109.962,105.594
idle,binary-delta,none,320,197004,380,310,153.909,160.144,128.222,64.767
idle,bit-full,none,320,2163662,2240,0,1690.361,1727.111,107.723,104.625
idle,bit-delta,none,320,131193,380,310,102.495,108.729,123.490,61.001
idle,fixed-full,none,320,1801291,1920,0,1407.259,1438.759,99.891,98.847
idle,fixed-delta,none,320,93076,370,310,72.716,78.786,116.697,57.685
idle,fixed-fine-delta,none,320,93076,370,310,72.716,78.786,119.213,59.059
idle,fixed-chassis-delta,none,320,93076,370,310,72.716,78.786,117.735,58.035
idle,json-full,deflate-1,320,728722,960,0,569.314,585.064,62.609,107.370
idle,json-selected,deflate-1,320,191966,340,310,149.973,155.552,236.914,80.574
idle,binary-full,deflate-1,320,702528,960,0,548.850,564.600,127.582,120.036
idle,binary-delta,deflate-1,320,103000,340,310,80.469,86.047,153.654,68.501
idle,bit-full,deflate-1,320,708313,960,0,553.370,569.120,125.150,118.444
idle,bit-delta,deflate-1,320,87178,340,310,68.108,73.686,149.769,62.485
idle,fixed-full,deflate-1,320,634573,640,0,495.760,506.260,116.498,112.079
idle,fixed-delta,deflate-1,320,58189,330,310,45.460,50.874,139.959,59.164
idle,fixed-fine-delta,deflate-1,320,58189,330,310,45.460,50.874,139.927,59.270
idle,fixed-chassis-delta,deflate-1,320,58189,330,310,45.460,50.874,140.513,59.862
idle,json-full,zstd-3,320,647968,959,0,506.225,521.959,54.728,97.207
idle,json-selected,zstd-3,320,189801,339,310,148.282,153.844,224.153,76.280
idle,binary-full,zstd-3,320,645238,958,0,504.092,519.809,121.478,109.920
idle,binary-delta,zstd-3,320,95500,339,310,74.609,80.171,145.916,64.023
idle,bit-full,zstd-3,320,665262,960,0,519.736,535.486,124.907,113.936
idle,bit-delta,zstd-3,320,87383,340,310,68.268,73.846,139.617,62.432
idle,fixed-full,zstd-3,320,598565,640,0,467.629,478.129,112.263,104.820
idle,fixed-delta,zstd-3,320,58406,330,310,45.630,51.044,133.326,59.807
idle,fixed-fine-delta,zstd-3,320,58406,330,310,45.630,51.044,133.252,60.121
idle,fixed-chassis-delta,zstd-3,320,58406,330,310,45.630,51.044,131.974,59.592
idle,json-full,zstd-dict-3,320,176123,320,0,137.596,142.846,46.681,95.782
idle,json-selected,zstd-dict-3,320,101784,320,310,79.519,84.769,216.014,76.409
idle,binary-full,zstd-dict-3,320,528448,640,0,412.850,423.350,118.942,109.385
idle,binary-delta,zstd-dict-3,320,94911,330,310,74.149,79.563,144.895,65.144
idle,bit-full,zstd-dict-3,320,535121,640,0,418.063,428.563,119.250,110.649
idle,bit-delta,zstd-dict-3,320,84851,330,310,66.290,71.704,134.955,61.010
idle,fixed-full,zstd-dict-3,320,488128,640,0,381.350,391.850,109.270,103.639
idle,fixed-delta,zstd-dict-3,320,56487,330,310,44.130,49.545,127.492,58.480
idle,fixed-fine-delta,zstd-dict-3,320,56487,330,310,44.130,49.545,131.266,61.045
idle,fixed-chassis-delta,zstd-dict-3,320,56487,330,310,44.130,49.545,127.291,58.452
idle,binary-full,zstd-retrained-3,320,131840,320,0,103.000,108.250,112.410,107.636
idle,binary-delta,zstd-retrained-3,320,75369,320,310,58.882,64.132,132.186,63.225
idle,bit-full,zstd-retrained-3,320,136989,320,0,107.023,112.273,118.620,115.311
idle,bit-delta,zstd-retrained-3,320,72421,320,310,56.579,61.829,130.842,61.663
idle,fixed-full,zstd-retrained-3,320,96231,320,0,75.180,80.430,105.646,106.630
idle,fixed-delta,zstd-retrained-3,320,43382,320,310,33.892,39.142,134.077,67.604
idle,fixed-fine-delta,zstd-retrained-3,320,43314,320,310,33.839,39.089,137.918,68.376
idle,fixed-chassis-delta,zstd-retrained-3,320,43639,320,310,34.093,39.343,137.006,66.667
drive,json-full,none,320,3296537,3519,0,2575.420,2633.153,57.208,120.723
drive,binary-full,none,320,2883662,3192,0,2252.861,2305.230,140.415,135.705
drive,binary-delta,none,320,388056,462,310,303.169,310.748,165.326,83.398
drive,bit-full,none,320,2811982,2880,0,2196.861,2244.111,138.419,134.661
drive,bit-delta,none,320,263084,400,310,205.534,212.097,162.482,81.984
drive,fixed-full,none,320,2303713,2560,0,1799.776,1841.776,129.529,127.927
drive,fixed-delta,none,320,149142,390,310,116.517,122.916,154.307,77.923
drive,fixed-fine-delta,none,320,149142,390,310,116.517,122.916,154.478,78.103
drive,fixed-chassis-delta,none,320,149142,390,310,116.517,122.916,154.244,77.951
drive,json-full,deflate-1,320,943075,962,0,736.777,752.560,84.852,140.069
drive,json-selected,deflate-1,320,364729,650,310,284.945,295.609,351.635,115.757
drive,binary-full,deflate-1,320,842296,960,0,658.044,673.794,164.173,153.515
drive,binary-delta,deflate-1,320,227286,340,310,177.567,183.145,198.964,91.656
drive,bit-full,deflate-1,320,852007,960,0,665.630,681.380,160.819,152.198
drive,bit-delta,deflate-1,320,203034,340,310,158.620,164.198,193.022,84.063
drive,fixed-full,deflate-1,320,714342,960,0,558.080,573.830,148.592,142.205
drive,fixed-delta,deflate-1,320,100919,340,310,78.843,84.421,184.509,80.478
drive,fixed-fine-delta,deflate-1,320,100919,340,310,78.843,84.421,184.730,80.523
drive,fixed-chassis-delta,deflate-1,320,100919,340,310,78.843,84.421,185.728,81.028
drive,json-full,zstd-3,320,799990,960,0,624.992,640.742,71.713,126.444
drive,json-selected,zstd-3,320,315060,340,310,246.141,251.719,328.710,107.875
drive,binary-full,zstd-3,320,756721,960,0,591.188,606.938,158.256,145.256
drive,binary-delta,zstd-3,320,214714,340,310,167.745,173.323,186.048,85.112
drive,bit-full,zstd-3,320,786188,960,0,614.209,629.959,153.557,142.195
drive,bit-delta,zstd-3,320,200557,340,310,156.685,162.263,184.889,85.821
drive,fixed-full,zstd-3,320,664723,959,0,519.315,535.048,144.038,135.999
drive,fixed-delta,zstd-3,320,100371,339,310,78.415,83.977,170.679,79.228
drive,fixed-fine-delta,zstd-3,320,100371,339,310,78.415,83.977,170.791,79.559
drive,fixed-chassis-delta,zstd-3,320,100371,339,310,78.415,83.977,170.096,79.158
drive,json-full,zstd-dict-3,320,292200,320,0,228.281,233.531,64.488,126.313
drive,json-selected,zstd-dict-3,320,219988,320,310,171.866,177.116,320.157,108.339
drive,binary-full,zstd-dict-3,320,607852,640,0,474.884,485.384,158.585,145.323
drive,binary-delta,zstd-dict-3,320,219220,330,310,171.266,176.680,186.258,85.439
drive,bit-full,zstd-dict-3,320,628450,640,0,490.977,501.477,159.036,145.555
drive,bit-delta,zstd-dict-3,320,197700,330,310,154.453,159.867,196.256,96.453
drive,fixed-full,zstd-dict-3,320,545386,640,0,426.083,436.583,148.903,142.016
drive,fixed-delta,zstd-dict-3,320,98347,330,310,76.834,82.248,182.764,89.133
drive,fixed-fine-delta,zstd-dict-3,320,98347,330,310,76.834,82.248,209.593,101.611
